,seeds
0,684
1,559
2,629
3,192
4,835
5,763
6,707
7,359
8,9
9,723
10,277
11,754
12,804
13,599
14,70
15,472
16,600
17,396
18,314
19,705
20,486
21,551
22,87
23,174
24,600
25,849
26,677
27,537
28,845
29,72
30,777
31,916
32,115
33,976
34,755
35,709
36,847
37,431
38,448
39,850
40,99
41,984
42,177
43,755
44,797
45,659
46,147
47,910
48,423
49,288
50,961
51,265
52,697
53,639
54,544
55,543
56,714
57,244
58,151
59,675
60,510
61,459
62,882
63,183
64,28
65,802
66,128
67,128
68,932
69,53
70,901
71,550
72,488
73,756
74,273
75,335
76,388
77,617
78,42
79,442
80,543
81,888
82,257
83,321
84,999
85,937
86,57
87,291
88,870
89,119
90,779
91,430
92,82
93,91
94,896
95,398
96,611
97,565
98,908
99,633
